,count,mean,std,min,25%,50%,75%,max,missing_values,missing_pct,unique,unique_pct,zeros,zeros_pct,variance,skew,kurtosis,iqr,outlier_count,outlier_pct
Patient name,64709.0,5152.757421687864,2997.1270569797,1.0,2581.0,5096.0,7762.0,10339.0,0,0.0,10339,15.977684711554808,0,0.0,8982770.595679797,0.014403814130876913,-1.2054515476868222,5181.0,0,0.0
Company Name,64709.0,51.6993153966218,25.761877465082645,1.0,24.0,58.0,75.0,90.0,0,0.0,90,0.1390842077608988,0,0.0,663.674330525933,-0.46694860151415934,-1.384373354250821,51.0,0,0.0
DoctorNameSurname,64709.0,824.9189911758797,418.89220304662433,1.0,416.0,869.0,1250.0,1560.0,0,0.0,1560,2.4107929345222456,0,0.0,175470.67777325437,-0.16534955708938195,-1.256700864397328,834.0,0,0.0
Protocol,64709.0,31610.65253674141,18439.075985470652,2.0,16178.0,31572.0,47868.0,64709.0,0,0.0,11219,17.337619187439152,0,0.0,339999523.19796056,0.09627681076504412,-1.119825696096382,31690.0,0,0.0
Medicine,64709.0,1.6771237385835047,4.343387068154171,0.0,1.0,1.0,1.0,240.0,0,0.0,44,0.06799672379421719,6,0.009272280517393252,18.865011223808885,28.274026298285072,1063.0666600363318,0.0,13545,20.93217326801527
ReceteDrug DomainName,64709.0,31577.082368758594,19822.559015989118,8.0,16170.0,32357.0,48519.0,64708.0,0,0.0,7413,11.455902579239364,0,0.0,392933845.9423715,-0.13426274918644113,-1.1146067624065015,32349.0,0,0.0
Recetion,64709.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1,0.001545380086232209,64709,100.0,0.0,0.0,0.0,0.0,0,0.0
Salary,64709.0,2.842386685005177,7.192233141304972,0.0,0.0,0.0,0.0,118.0,0,0.0,77,0.11899426663988008,50764,78.44967469749184,51.72821755888558,4.293732120128363,29.618708270772057,0.0,13945,21.550325302508153
ReceteKP,64709.0,1.78024695173778,2.0845510668638805,0.0,0.0,0.0,3.0,17.0,0,0.0,16,0.024726081379715343,34016,52.56764901327482,4.3453531503633425,0.9886651817416338,1.4404457811699927,3.0,675,1.043131558206741
Reporting,64709.0,0.09219737594461358,0.2893066077202644,0.0,0.0,0.0,0.0,1.0,0,0.0,2,0.003090760172464418,58743,90.78026240553865,0.08369831327060695,2.8192596903308513,5.948409051627058,0.0,5966,9.219737594461359
NobetciMi,64709.0,0.09919794773524548,0.29892991793735413,0.0,0.0,0.0,0.0,1.0,0,0.0,2,0.003090760172464418,58290,90.08020522647546,0.08935909583803328,2.6816615964270523,5.191469372664201,0.0,6419,9.919794773524549
ID,64709.0,32355.0,18680.023621505406,1.0,16178.0,32355.0,48532.0,64709.0,0,0.0,64709,100.0,0,0.0,348943282.5,0.0,-1.2000000000000004,32354.0,0,0.0
